[12/10/2025 10:11:23 - INFO] Discord Presence activated
[12/10/2025 10:11:23 - INFO] Creating discord-rpc client
[12/10/2025 10:11:23 - INFO] Successfully connected to Discord
[12/10/2025 10:11:23 - DEBUG] Loading git extension
[12/10/2025 10:11:23 - TRACE] Git extension not activated, activating...
[12/10/2025 10:11:23 - DEBUG] Loading git extension
[12/10/2025 10:11:23 - TRACE] Git extension not activated, activating...
[12/10/2025 10:11:31 - TRACE] VSCode language id: go
[12/10/2025 10:11:39 - TRACE] VSCode language id: go
[12/10/2025 10:11:41 - TRACE] VSCode language id: go
[12/10/2025 10:11:43 - TRACE] VSCode language id: go
[12/10/2025 10:11:45 - TRACE] VSCode language id: go
[12/10/2025 10:11:47 - TRACE] VSCode language id: go
[12/10/2025 10:11:50 - TRACE] VSCode language id: go
[12/10/2025 10:11:52 - TRACE] VSCode language id: go
[12/10/2025 10:11:54 - TRACE] VSCode language id: go
[12/10/2025 10:11:56 - TRACE] VSCode language id: go
[12/10/2025 10:11:58 - TRACE] VSCode language id: go
[12/10/2025 10:12:05 - TRACE] VSCode language id: go
[12/10/2025 10:12:07 - TRACE] VSCode language id: go
[12/10/2025 10:12:09 - TRACE] VSCode language id: go
[12/10/2025 10:12:11 - TRACE] VSCode language id: go
[12/10/2025 10:12:13 - TRACE] VSCode language id: go
[12/10/2025 10:12:15 - TRACE] VSCode language id: go
[12/10/2025 10:12:17 - TRACE] VSCode language id: go
[12/10/2025 10:12:19 - TRACE] VSCode language id: go
[12/10/2025 10:12:21 - TRACE] VSCode language id: go
[12/10/2025 10:12:24 - TRACE] VSCode language id: go
[12/10/2025 10:12:26 - TRACE] VSCode language id: go
[12/10/2025 10:12:28 - TRACE] VSCode language id: go
[12/10/2025 10:12:29 - TRACE] VSCode language id: go
[12/10/2025 10:12:31 - TRACE] VSCode language id: go
[12/10/2025 10:12:43 - TRACE] VSCode language id: go
[12/10/2025 10:12:45 - TRACE] VSCode language id: go
[12/10/2025 10:12:47 - TRACE] VSCode language id: go
[12/10/2025 10:12:49 - TRACE] VSCode language id: go
[12/10/2025 10:12:51 - TRACE] VSCode language id: go
[12/10/2025 10:12:53 - TRACE] VSCode language id: go
[12/10/2025 10:12:55 - TRACE] VSCode language id: go
[12/10/2025 10:12:57 - TRACE] VSCode language id: go
[12/10/2025 10:13:00 - TRACE] VSCode language id: go
[12/10/2025 10:13:02 - TRACE] VSCode language id: go
[12/10/2025 10:13:04 - TRACE] VSCode language id: go
[12/10/2025 10:13:06 - TRACE] VSCode language id: go
[12/10/2025 10:13:09 - TRACE] VSCode language id: go
[12/10/2025 10:13:11 - TRACE] VSCode language id: go
[12/10/2025 10:13:13 - TRACE] VSCode language id: go
[12/10/2025 10:13:15 - TRACE] VSCode language id: go
